,mol_name,SMILES,PLANET_affinity
18,NS(=O)(=O)c2ccc(NC(=O)c1c(F)c(F)cc(F)c1F)c(F)c2,NS(=O)(=O)c1ccc(NC(=O)c2c(F)c(F)cc(F)c2F)c(F)c1,7.6549406
19,NS(=O)(=O)c5ccc(CC[n+]3c(c1ccccc1)cc(c2ccccc2)cc3c4ccccc4)cc5,NS(=O)(=O)c1ccc(CC[n+]2c(-c3ccccc3)cc(-c3ccccc3)cc2-c2ccccc2)cc1,3.1171641
20,NS(=O)(=O)c3ccc(NS(=O)(=O)c2ccc(NS(=O)(=O)c1c(F)c(F)c(F)c(F)c1F)cc2)cc3,NS(=O)(=O)c1ccc(NS(=O)(=O)c2ccc(NS(=O)(=O)c3c(F)c(F)c(F)c(F)c3F)cc2)cc1,9.311452
21,NS(=O)(=O)c3ccc(c2cn([C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O)nn2)cc3,NS(=O)(=O)c1ccc(-c2cn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)nn2)cc1,6.3362494
22,Cn1nc(S(N)(=O)=O)s\c1=N/S(=O)(=O)c2c(F)c(F)c(F)c(F)c2F,Cn1nc(S(N)(=O)=O)s/c1=N/S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F,9.667813
23,NS(=O)(=O)c3nnc(NS(=O)(=O)c2ccc(NC(\S)=N\CCN1CCOCC1)cc2)s3,NS(=O)(=O)c1nnc(NS(=O)(=O)c2ccc(N/C(S)=N/CCN3CCOCC3)cc2)s1,8.40159
24,NS(=O)(=O)c3nc2ccc(OC(=O)c1c(F)c(F)c(F)c(F)c1F)cc2s3,NS(=O)(=O)c1nc2ccc(OC(=O)c3c(F)c(F)c(F)c(F)c3F)cc2s1,8.213013
25,CC3(C)OC[C@@H]2O[C@@]1(C(=O)NS(N)(=O)=O)OC(C)(C)O[C@H]1[C@@H]2O3,CC1(C)OC[C@@H]2O[C@@]3(C(=O)NS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1,6.256634
26,NS(=O)(=O)c3ccc(NC(=O)c2cc1ccccc1oc2=O)cc3,NS(=O)(=O)c1ccc(NC(=O)c2cc3ccccc3oc2=O)cc1,7.1486225
27,CC4(C)O[C@H]3[C@@H]2OC1(CCCCC1)O[C@@H]2CO[C@@]3(COS(N)(=O)=O)O4,CC1(C)O[C@H]2[C@@H]3OC4(CCCCC4)O[C@@H]3CO[C@@]2(COS(N)(=O)=O)O1,6.627802
28,NS(=O)(=O)c2ccc(NC(\S)=N\Nc1ccccc1F)cc2,NS(=O)(=O)c1ccc(N/C(S)=N/Nc2ccccc2F)cc1,5.7069664
29,NS(=O)(=O)c3ccc(C(=O)NNC(=O)Nc2ccc(Cc1ccccc1)cc2)cc3,NS(=O)(=O)c1ccc(C(=O)NNC(=O)Nc2ccc(Cc3ccccc3)cc2)cc1,6.8548965
30,NS(=O)(=O)c2ccc(CCNC(=O)CCSSCCC(=O)NCCc1ccc(S(N)(=O)=O)cc1)cc2,NS(=O)(=O)c1ccc(CCNC(=O)CCSSCCC(=O)NCCc2ccc(S(N)(=O)=O)cc2)cc1,7.9747453
31,Cc2cc(C)[n+](Cc1ccc(S(N)(=O)=O)cc1)c(C)c2C,Cc1cc(C)[n+](Cc2ccc(S(N)(=O)=O)cc2)c(C)c1C,7.5635605
32,NS(=O)(=O)c3cc2cc(N1CCSCC1)sc2s3,NS(=O)(=O)c1cc2cc(N3CCSCC3)sc2s1,5.798963
33,COc3ccc2c(CC(=O)NNc1ccc(S(N)(=O)=O)cc1)cc(=O)oc2c3,COc1ccc2c(CC(=O)NNc3ccc(S(N)(=O)=O)cc3)cc(=O)oc2c1,8.076518
34,NS(=O)(=O)c5ccc(CC/N=C(S)/N=c4/ccc(=c2c1ccc(O)cc1oc3cc(O)ccc23)c(C(O)=O)c4)cc5,NS(=O)(=O)c1ccc(CC/N=C(S)/N=C2/C=CC(=C3c4ccc(O)cc4Oc4cc(O)ccc43)C(C(=O)O)=C2)cc1,9.2848215
35,Cn1nc(S(N)(=O)=O)s\c1=N/C(=O)CCSSCCC(=O)\N=c2\sc(S(N)(=O)=O)nn2C,Cn1nc(S(N)(=O)=O)s/c1=N/C(=O)CCSSCCC(=O)/N=c1/sc(S(N)(=O)=O)nn1C,7.832821
36,NS(=O)(=O)c3nc2ccc(OCCONC(=O)c1cccc(C(O)=O)n1)cc2s3,NS(=O)(=O)c1nc2ccc(OCCONC(=O)c3cccc(C(=O)O)n3)cc2s1,7.80278
37,NS(=O)(=O)c2ccc(CCNC(=O)Cc1cccs1)cc2,NS(=O)(=O)c1ccc(CCNC(=O)Cc2cccs2)cc1,5.5342817
38,NS(=O)(=O)c3ccc(NC(=O)CCN2CCC(Cc1ccccc1)CC2)cc3,NS(=O)(=O)c1ccc(NC(=O)CCN2CCC(Cc3ccccc3)CC2)cc1,7.6637173
39,NS(=O)(=O)c2ccc(\N=C/c1ncc[nH]1)cc2,NS(=O)(=O)c1ccc(/N=C\c2ncc[nH]2)cc1,5.665576
40,NS(=O)(=O)c3nnc(NS(=O)(=O)c2ccc(NC(/S)=N/N1CCOCC1)cc2)s3,NS(=O)(=O)c1nnc(NS(=O)(=O)c2ccc(N/C(S)=N/N3CCOCC3)cc2)s1,2.564187
41,NS(=O)(=O)c2ccc(N1CCCCS1(=O)=O)cc2,NS(=O)(=O)c1ccc(N2CCCCS2(=O)=O)cc1,6.555131
42,C[C@H](CCC(=O)NCCc1ccc(S(N)(=O)=O)cc1)[C@H]3CC[C@H]2C5[C@H](CC(=O)[C@@]23C)[C@@]4(C)CCC(=O)C[C@H]4CC5=O,C[C@H](CCC(=O)NCCc1ccc(S(N)(=O)=O)cc1)[C@H]1CC[C@H]2C3C(=O)C[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC(=O)[C@]12C,8.888706
43,Cc2c(CCC1CCCCC1)c(=O)oc3cc(OS(N)(=O)=O)ccc23,Cc1c(CCC2CCCCC2)c(=O)oc2cc(OS(N)(=O)=O)ccc12,5.3189106
44,NCCCN2CCN(CCCN/N=C(\S)Nc1ccc(S(N)(=O)=O)cc1)CC2,NCCCN1CCN(CCCN/N=C(\S)Nc2ccc(S(N)(=O)=O)cc2)CC1,6.7389693
45,NS(=O)(=O)c1cnccc1SCc2ccccc2,NS(=O)(=O)c1cnccc1SCc1ccccc1,7.9057126
46,NS(=O)(=O)c2ccc(CCNc1ccncc1S(N)(=O)=O)cc2,NS(=O)(=O)c1ccc(CCNc2ccncc2S(N)(=O)=O)cc1,9.260189
47,Cc3cc(c1ccccc1)cc(c2ccccc2)[n+]3c4ccc(S(N)(=O)=O)cc4,Cc1cc(-c2ccccc2)cc(-c2ccccc2)[n+]1-c1ccc(S(N)(=O)=O)cc1,5.3019595
48,NS(=O)(=O)c5ccc([n+]3c(c1ccccc1)cc(c2ccccc2)cc3c4ccccc4)cc5,NS(=O)(=O)c1ccc(-[n+]2c(-c3ccccc3)cc(-c3ccccc3)cc2-c2ccccc2)cc1,1.1890132
49,NS(=O)(=O)c3ccc(C(=O)NNC(=O)Nc2ccc(Oc1ccccc1)cc2)cc3,NS(=O)(=O)c1ccc(C(=O)NNC(=O)Nc2ccc(Oc3ccccc3)cc2)cc1,6.0613422
50,NS(=O)(=O)c4nc3ccc(NC(=O)CN(CCN(CC(O)=O)c1ccccc1O)c2ccccc2O)cc3s4,NS(=O)(=O)c1nc2ccc(NC(=O)CN(CCN(CC(=O)O)c3ccccc3O)c3ccccc3O)cc2s1,9.370257
51,Cc2cc(c1ccccc1)cc(C)[n+]2CC(=O)NCc3ccc(S(N)(=O)=O)cc3,Cc1cc(-c2ccccc2)cc(C)[n+]1CC(=O)NCc1ccc(S(N)(=O)=O)cc1,7.183708
52,NS(=O)(=O)c2ccc(CCNC(=O)Nc1ccc(Cl)c(Cl)c1)cc2,NS(=O)(=O)c1ccc(CCNC(=O)Nc2ccc(Cl)c(Cl)c2)cc1,6.7101626
53,NS(=O)(=O)Oc3ccc2C=C(CC1CCCCCC1)S(=O)(=O)c2c3,NS(=O)(=O)Oc1ccc2c(c1)S(=O)(=O)C(CC1CCCCCC1)=C2,6.3975687
54,NS(=O)(=O)c4ccc(n3cc(CO[C@@H]2O[C@H](CO)[C@@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)[C@H]2O)nn3)cc4,NS(=O)(=O)c1ccc(-n2cc(CO[C@@H]3O[C@H](CO)[C@@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)nn2)cc1,7.6832485
55,NS(=O)(=O)c2cc1NCC(CCO)Sc1s2,NS(=O)(=O)c1cc2c(s1)SC(CCO)CN2,5.501405
56,C[C@H](CCC(=O)Oc2ccc1nc(S(N)(=O)=O)sc1c2)[C@H]6CC[C@H]5C4CC[C@@H]3C[C@H](O)CC[C@]3(C)[C@H]4CC[C@@]56C,C[C@H](CCC(=O)Oc1ccc2nc(S(N)(=O)=O)sc2c1)[C@H]1CC[C@H]2C3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,8.608247
57,CC(CCc1ccc(O)cc1)NCCc2ccc(O)c(O)c2,CC(CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1,6.198365
58,C[C@H](CCC(=O)\N=c1/sc(S(N)(=O)=O)nn1C)[C@H]5CC[C@H]4C3[C@@H](O)C[C@@H]2C[C@H](O)CC[C@]2(C)[C@H]3CC[C@@]45C,C[C@H](CCC(=O)/N=c1\sc(S(N)(=O)=O)nn1C)[C@H]1CC[C@H]2C3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,8.383516
59,COCCN(CCOC)CCC2CNc1cc(S(N)(=O)=O)sc1S2(=O)=O,COCCN(CCOC)CCC1CNc2cc(S(N)(=O)=O)sc2S1(=O)=O,6.9674006
60,NS(=O)(=O)c2ccc(CCNC(=O)Cc1ccccc1)cc2,NS(=O)(=O)c1ccc(CCNC(=O)Cc2ccccc2)cc1,5.842115
61,CC(=O)OC[C@H]3O[C@H](n2cc(c1ccc(S(N)(=O)=O)cc1)nn2)[C@@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]3OC(C)=O,CC(=O)OC[C@H]1O[C@H](n2cc(-c3ccc(S(N)(=O)=O)cc3)nn2)[C@@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,6.4514565
62,COc3cccc(N2CCc1cc(S(N)(=O)=O)sc1S2(=O)=O)c3,COc1cccc(N2CCc3cc(S(N)(=O)=O)sc3S2(=O)=O)c1,8.948674
63,NS(=O)(=O)c3ccc2[nH]c(c1cscn1)nc2c3,NS(=O)(=O)c1ccc2[nH]c(-c3cscn3)nc2c1,5.734207
64,Cc2cc(c1ccccc1)cc(C)[n+]2CC(=O)OCCOc4ccc3nc(S(N)(=O)=O)sc3c4,Cc1cc(-c2ccccc2)cc(C)[n+]1CC(=O)OCCOc1ccc2nc(S(N)(=O)=O)sc2c1,9.051971
65,NS(=O)(=O)c4ccc(CC[n+]2c(c1ccccc1)cccc2c3ccccc3)cc4,NS(=O)(=O)c1ccc(CC[n+]2c(-c3ccccc3)cccc2-c2ccccc2)cc1,1.9163501
66,NS(=O)(=O)c3ccc(Sc1ccccn1)c(C(=O)NCc2ccccn2)c3,NS(=O)(=O)c1ccc(Sc2ccccn2)c(C(=O)NCc2ccccn2)c1,7.339562
67,Cc3cc(C)[n+](CC(=O)OCCOc2ccc1nc(S(N)(=O)=O)sc1c2)c(C)c3,Cc1cc(C)[n+](CC(=O)OCCOc2ccc3nc(S(N)(=O)=O)sc3c2)c(C)c1,8.472145
68,CCN([C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc12)C(=O)c3ccc(CON(=O)=O)cc3,CCN(C(=O)c1ccc(CO[N+](=O)[O-])cc1)[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,8.421855
69,CC(=O)OC[C@H]2O[C@@H](SNCCc1ccc(S(N)(=O)=O)cc1)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]2OC(C)=O,CC(=O)OC[C@H]1O[C@@H](SNCCc2ccc(S(N)(=O)=O)cc2)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]1OC(C)=O,7.1595817
70,COc3ccc(CNCc1cc(S(N)(=O)=O)cnc1Sc2ccc(F)c(F)c2)cc3,COc1ccc(CNCc2cc(S(N)(=O)=O)cnc2Sc2ccc(F)c(F)c2)cc1,9.276301
71,Cc2cc(c1ccccc1)cc(C)[n+]2CC(=O)Nc4ccc(S(=O)(=O)Nc3ccc(S(N)(=O)=O)cc3)cc4,Cc1cc(-c2ccccc2)cc(C)[n+]1CC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(S(N)(=O)=O)cc2)cc1,8.249893
72,NS(=O)(=O)c3nnc(NC(=O)CN2CCN(Cc1ccccc1)CC2)s3,NS(=O)(=O)c1nnc(NC(=O)CN2CCN(Cc3ccccc3)CC2)s1,7.984354
73,NS(=O)(=O)c3ccc(COC(=O)CN(CCN(CC(O)=O)c1ccccc1O)c2ccccc2O)cc3,NS(=O)(=O)c1ccc(COC(=O)CN(CCN(CC(=O)O)c2ccccc2O)c2ccccc2O)cc1,8.60438
74,Cc2cc(c1ccccc1)cc(C)[n+]2Cc3ccc(S(N)(=O)=O)cc3,Cc1cc(-c2ccccc2)cc(C)[n+]1Cc1ccc(S(N)(=O)=O)cc1,6.813142
75,Cc3cc(C)[n+](CC(=O)Nc2ccc1nc(S(N)(=O)=O)sc1c2)c(C)c3,Cc1cc(C)[n+](CC(=O)Nc2ccc3nc(S(N)(=O)=O)sc3c2)c(C)c1,7.4660983
76,Cc3cc(C)[n+](CC(=O)Nc2ccc(S(=O)(=O)Nc1cccc(S(N)(=O)=O)c1)cc2)c(C)c3,Cc1cc(C)[n+](CC(=O)Nc2ccc(S(=O)(=O)Nc3cccc(S(N)(=O)=O)c3)cc2)c(C)c1,8.497388
77,C[C@H](CCC(=O)NNc1ccc(S(N)(=O)=O)cc1)[C@H]3CC[C@H]2C5[C@H](CC(=O)[C@@]23C)[C@@]4(C)CCC(=O)C[C@H]4CC5=O,C[C@H](CCC(=O)NNc1ccc(S(N)(=O)=O)cc1)[C@H]1CC[C@H]2C3C(=O)C[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC(=O)[C@]12C,8.728095
78,NS(=O)(=O)c2ccc(Nc1nc(=O)[nH]c(=O)[nH]1)cc2,NS(=O)(=O)c1ccc(Nc2nc(=O)[nH]c(=O)[nH]2)cc1,6.984794
79,NS(=O)(=O)c2ccc(NC(\S)=N\NCCN1CCOCC1)cc2,NS(=O)(=O)c1ccc(N/C(S)=N/NCCN2CCOCC2)cc1,5.9473124
80,Cc3ccc(c1cc(C(F)(F)F)nn1c2ccc(S(N)(=O)=O)cc2)cc3,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,7.3372703
81,NS(=O)(=O)c5ccc(NC(\S)=N/c4ccc(c2c1ccc(O)cc1oc3cc(=O)ccc23)c(C(O)=O)c4)cc5,NS(=O)(=O)c1ccc(N/C(S)=N\c2ccc(-c3c4ccc(=O)cc-4oc4cc(O)ccc34)c(C(=O)O)c2)cc1,8.516863
82,NS(=O)(=O)c3ccc(n2cc(CS[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)nn2)cc3,NS(=O)(=O)c1ccc(-n2cc(CS[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)nn2)cc1,5.7205462
83,Cc4ncc(CO)c(CNc3nc(NCc1c(O)c(C)ncc1CO)nc(Nc2ccc(S(N)(=O)=O)cc2)n3)c4O,Cc1ncc(CO)c(CNc2nc(NCc3c(CO)cnc(C)c3O)nc(Nc3ccc(S(N)(=O)=O)cc3)n2)c1O,9.055258
84,NS(=O)(=O)c3ccc(C(=O)NCC(=O)NC(Cc2ccc1ccccc1c2)C(O)=O)cc3,NS(=O)(=O)c1ccc(C(=O)NCC(=O)NC(Cc2ccc3ccccc3c2)C(=O)O)cc1,7.7873025
85,NS(=O)(=O)c2ccc(NC(=O)CCCNc1ccn(O)c(=O)n1)cc2,NS(=O)(=O)c1ccc(NC(=O)CCCNc2ccn(O)c(=O)n2)cc1,7.226282
86,C[C@H](CCC(=O)Nc1ccc(S(N)(=O)=O)cc1Cl)[C@H]3CC[C@H]2C5[C@H](CC(=O)[C@@]23C)[C@@]4(C)CCC(=O)C[C@H]4CC5=O,C[C@H](CCC(=O)Nc1ccc(S(N)(=O)=O)cc1Cl)[C@H]1CC[C@H]2C3C(=O)C[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC(=O)[C@]12C,9.110541
87,CN2CCN(N/N=C(\S)NCCc1ccc(S(N)(=O)=O)cc1)CC2,CN1CCN(N/N=C(\S)NCCc2ccc(S(N)(=O)=O)cc2)CC1,6.8899965
88,NS(=O)(=O)c2ccc(CCNCc1ccccc1F)cc2,NS(=O)(=O)c1ccc(CCNCc2ccccc2F)cc1,6.718828
89,NS(=O)(=O)c3ccc(n2cc(CS(=O)[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)nn2)cc3,NS(=O)(=O)c1ccc(-n2cc(CS(=O)[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)nn2)cc1,6.9396515
90,COCCN(CCOC)Cc2cc1cc(S(N)(=O)=O)sc1s2,COCCN(CCOC)Cc1cc2cc(S(N)(=O)=O)sc2s1,5.993369
91,NS(=O)(=O)c2ccc(CNSC(=S)N1CCOCC1)cc2,NS(=O)(=O)c1ccc(CNSC(=S)N2CCOCC2)cc1,5.2767863
92,Cc2cc(c1ccccc1)cc(C)[n+]2CCc3ccc(S(N)(=O)=O)cc3,Cc1cc(-c2ccccc2)cc(C)[n+]1CCc1ccc(S(N)(=O)=O)cc1,6.861936
93,NS(=O)(=O)c1cnccc1Sc2ccncc2S(N)(=O)=O,NS(=O)(=O)c1cnccc1Sc1ccncc1S(N)(=O)=O,8.308453
94,C[C@H](CCC(=O)\N=c1/sc(S(N)(=O)=O)nn1C)[C@H]3CC[C@H]2C5[C@H](CC(=O)[C@@]23C)[C@@]4(C)CCC(=O)C[C@H]4CC5=O,C[C@H](CCC(=O)/N=c1\sc(S(N)(=O)=O)nn1C)[C@H]1CC[C@H]2C3C(=O)C[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC(=O)[C@]12C,9.027491
95,NS(=O)(=O)c2cc(C(=O)c1ccccc1)cs2,NS(=O)(=O)c1cc(C(=O)c2ccccc2)cs1,8.551614
96,NS(=O)(=O)c3cc2cc(CN1CCSCC1)sc2s3,NS(=O)(=O)c1cc2cc(CN3CCSCC3)sc2s1,5.8857203
97,CN2CCN(CCC(=O)Nc1nnc(S(N)(=O)=O)s1)CC2,CN1CCN(CCC(=O)Nc2nnc(S(N)(=O)=O)s2)CC1,6.1955256
98,NS(=O)(=O)c2ccc(C(=O)NCC1CCCCC1)cc2,NS(=O)(=O)c1ccc(C(=O)NCC2CCCCC2)cc1,5.3015165
99,Cc2cc(c1ccccc1)cc(C)[n+]2CC(=O)Nc4ccc(S(=O)(=O)\N=c3\sc(S(N)(=O)=O)nn3C)cc4,Cc1cc(-c2ccccc2)cc(C)[n+]1CC(=O)Nc1ccc(S(=O)(=O)/N=c2/sc(S(N)(=O)=O)nn2C)cc1,8.445855
100,NS(=O)(=O)c3nnc(NS(=O)(=O)c2ccc(NC(/S)=N/C(O)C(O)c1ccc(N(=O)=O)cc1)cc2)s3,NS(=O)(=O)c1nnc(NS(=O)(=O)c2ccc(N/C(S)=N/C(O)C(O)c3ccc([N+](=O)[O-])cc3)cc2)s1,9.722014
101,CC3(C)O[C@@H]2CO[C@@]1(COS(N)(=O)=O)OC(C)(C)O[C@H]1[C@@H]2O3,CC1(C)O[C@@H]2[C@@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@H]23)O1,6.7890625
102,CC1CC=NN1c2ccncc2S(N)(=O)=O,CC1CC=NN1c1ccncc1S(N)(=O)=O,2.4390452
103,NS(=O)(=O)c2ccc(C(=O)NCc1ccncc1)cc2,NS(=O)(=O)c1ccc(C(=O)NCc2ccncc2)cc1,6.2173977
104,CCN(C1CC(C)S(=O)(=O)c2sc(S(N)(=O)=O)cc12)C(=O)c3cccnc3C(O)=O,CCN(C(=O)c1cccnc1C(=O)O)C1CC(C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,7.3134594
105,NS(=O)(=O)c2ccc(C(=O)NCC(=O)NCC(=O)N1CCCC1C(O)=O)cc2,NS(=O)(=O)c1ccc(C(=O)NCC(=O)NCC(=O)N2CCCC2C(=O)O)cc1,6.9470005
106,NS(=O)(=O)c2ccc(C(=O)NCSc1ccccc1)cc2,NS(=O)(=O)c1ccc(C(=O)NCSc2ccccc2)cc1,6.2924175
107,Cn1nc(S(N)(=O)=O)s/c1=N/C(=O)c2ccco2,Cn1nc(S(N)(=O)=O)s/c1=N\C(=O)c1ccco1,7.0990095
108,C[C@H](CCC(=O)OCc1ccc(S(N)(=O)=O)cc1)[C@H]5CC[C@H]4C3[C@@H](O)C[C@@H]2C[C@H](O)CC[C@]2(C)[C@H]3CC[C@@]45C,C[C@H](CCC(=O)OCc1ccc(S(N)(=O)=O)cc1)[C@H]1CC[C@H]2C3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,8.192289
109,NS(=O)(=O)c2ccc(CCNc1nc(=O)[nH]c(=O)[nH]1)cc2,NS(=O)(=O)c1ccc(CCNc2nc(=O)[nH]c(=O)[nH]2)cc1,6.609034
110,NS(=O)(=O)c3ccc(Sc1c(F)c(F)cc(F)c1F)c(C(=O)NCCc2ccccn2)c3,NS(=O)(=O)c1ccc(Sc2c(F)c(F)cc(F)c2F)c(C(=O)NCCc2ccccn2)c1,9.206737
111,NS(=O)(=O)c2cc(C(O)=O)c(NCc1ccco1)cc2Cl,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,7.1502013
112,NS(=O)(=O)c3ccc(CCNC(=O)Cn2c(=O)c1ccccc1c2=O)cc3,NS(=O)(=O)c1ccc(CCNC(=O)CN2C(=O)c3ccccc3C2=O)cc1,4.440158
113,NS(=O)(=O)c3ccc(Nc2ccnc(NS(=O)(=O)c1c(F)c(F)c(F)c(F)c1F)n2)cc3,NS(=O)(=O)c1ccc(Nc2ccnc(NS(=O)(=O)c3c(F)c(F)c(F)c(F)c3F)n2)cc1,8.770769
114,Cn1nc(S(N)(=O)=O)s/c1=N/S(=O)(=O)c3ccc(NS(=O)(=O)c2c(F)c(F)c(F)c(F)c2F)cc3,Cn1nc(S(N)(=O)=O)s/c1=N\S(=O)(=O)c1ccc(NS(=O)(=O)c2c(F)c(F)c(F)c(F)c2F)cc1,10.523125
115,Cc3cc(C)[n+](CC(=O)Nc2nccc(Nc1ccc(S(N)(=O)=O)cc1)n2)c(C)c3,Cc1cc(C)[n+](CC(=O)Nc2nccc(Nc3ccc(S(N)(=O)=O)cc3)n2)c(C)c1,7.7256155
